City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
496,baotou,40.6522,109.8222,28.58,15,15,0,CN,2023-06-13 09:35:16
497,imbituba,-28.24,-48.6703,13.81,72,72,100,BR,2023-06-13 09:35:17
498,jinka,5.65,36.65,25.33,54,54,35,ET,2023-06-13 09:35:17
499,porto novo,6.4965,2.6036,28.9,58,58,76,BJ,2023-06-13 09:35:17
500,knyaze-volkonskoye,48.4642,135.4567,23.19,69,69,1,RU,2023-06-13 09:35:17
501,yinchuan,38.4681,106.2731,30.97,8,8,0,CN,2023-06-13 09:35:18
502,nurota,40.5614,65.6886,37.06,11,11,0,UZ,2023-06-13 09:31:50
503,al jawf,29.5,38.75,33.97,17,17,0,SA,2023-06-13 09:30:17
504,gobabis,-22.45,18.9667,16.63,22,22,0,NA,2023-06-13 09:35:18
505,pangody,65.85,74.4859,10.65,36,36,100,RU,2023-06-13 09:29:50
506,la'ie,21.6477,-157.9253,25.98,80,80,7,US,2023-06-13 09:35:19
507,tomatlan,19.9333,-105.25,22.14,93,93,17,MX,2023-06-13 09:35:19
508,chui,-33.6971,-53.4616,8.78,76,76,99,UY,2023-06-13 09:30:24
509,todos santos,23.45,-110.2167,20.79,61,61,59,MX,2023-06-13 09:35:20
510,chamzinka,54.4019,45.7839,16.44,53,53,100,RU,2023-06-13 09:35:20
511,baikonur,45.6167,63.3167,36.1,6,6,30,KZ,2023-06-13 09:35:20
512,palenque,17.5167,-91.9667,26.53,74,74,4,MX,2023-06-13 09:35:20
513,gidrotorf,56.4744,43.5414,18.99,42,42,12,RU,2023-06-13 09:35:21
514,beaufort west,-32.3567,22.583,12.92,59,59,88,ZA,2023-06-13 09:35:21
